"","recid","ASVAB_GS","ASVAB_AR","ASVAB_WK","ASVAB_PC","ASVAB_NO","ASVAB_CS","ASVAB_AI","ASVAB_SI","ASVAB_MK","ASVAB_MC","ASVAB_EI","ASVAB_AO","sex","moth_age_birth","cross_sction","med","race","nsib","nuclear","urban","income","fed","yob","AGE_ASVAB","acgrd_1","acgrd_2","acgrd_3","acgrd_4","acgrd_5","acgrd_6","acgrd_7","acgrd_8","acgrd_9","acgrd_10","acgrd_11","acgrd_12","acgrd_13","_merge"
"98",363,-501,-420,-727,-849,15779,6342,-1421,-1681,252,-1045,-1128,294,2,31,1,4,2,2,1,1,56.8921394348145,4,1983,16,11,12,12,12,13,14,14,14,14,14,0,0,0,3
"99",368,-1291,-677,-1237,-988,21770,4587,-1505,-1658,-594,-875,-1498,-1729,2,39,1,6,2,2,1,1,9.30391788482666,3,1981,18,11,12,12,13,13,13,13,13,13,13,13,13,0,3
"100",375,829,691,1473,1803,26877,11661,-631,-1277,1407,31,-244,347,1,22,1,14,1,1,0,1,125.599998474121,12,1982,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
"101",385,-1108,-2605,-612,-644,8724,2098,-1173,-897,-1480,-76,-1675,-932,1,20,1,8,2,2,1,1,46.1297950744629,6,1981,18,10,11,12,13,13,13,13,13,13,13,13,14,0,3
"102",389,457,117,476,460,25534,9560,-1224,-979,851,-155,-393,1235,2,30,1,14,4,2,1,1,2.68779826164246,14,1981,18,11,12,13,13,14,15,15,15,16,16,16,16,0,3
"103",399,818,569,87,34,20183,11685,239,6,1228,256,541,-274,1,23,1,12,3,4,1,1,42.9114379882812,NA,1980,19,11,12,13,13,13,13,13,13,13,13,13,13,13,3
"104",400,207,229,324,855,15549,9959,-1033,-693,917,95,-710,703,2,25,1,12,3,4,1,1,93,NA,1982,17,11,12,12,12,12,13,14,14,14,14,14,0,0,3
"105",404,-107,203,-536,-104,18233,7921,548,359,816,514,349,493,1,19,1,14,4,8,1,1,62.0327415466309,14,1980,19,11,12,12,12,12,13,14,15,15,15,16,16,16,3
"106",405,385,773,-175,712,22880,4743,-501,444,1608,248,96,448,1,21,1,14,4,8,1,1,72.0912094116211,14,1981,18,11,12,13,13,13,14,15,16,16,16,16,16,0,3
"107",406,37,604,252,1679,18711,6864,-1560,-1160,1259,-53,-1090,193,2,23,1,14,4,8,1,1,72.0912094116211,14,1983,16,11,12,13,13,14,15,15,15,15,15,0,0,0,3
"108",414,-1669,-1215,-585,-913,12708,5223,-682,-2138,-1136,-2496,-1504,-1751,2,24,1,11,1,1,0,1,3.21835780143738,11,1980,19,11,12,12,12,12,12,12,12,12,12,12,12,12,3
